Kod, Miasto
16975,Wierzbówka
16981,Wola Przewłocka
16998,Zaniówka
17006,Chotyłów
17012,Dąbrowica Mała
17029,Dobrynka
17035,Janówka
17058,Kościeniewicze
17064,Nowy Dwór
17070,Ortel Królewski Pierwszy
17087,Ortel Królewski Drugi
17124,Piszczac
17160,Piszczac Drugi
17207,Piszczac-Kolonia
17220,Połoski
17259,Połoski Nowe
17265,Połoski Stare
17271,Popiel
17288,Trojanów
17294,Wólka Kościeniewicka
17302,Wyczółki
17331,Zahorów
17348,Zalutyń
17354,Chłopków
17360,Chłopków-Kolonia
17377,Czuchów
17390,Czuchów-Pieńki
17408,Falatycze
17437,Górki
17443,Hruszew
17466,Hruszniew
17472,Hruszniew-Kolonia
17495,Kamianka
17503,Kisielew
17510,Lipno
17526,Mężenin
17532,Mężenin-Kolonia
17549,Michałów
17555,Myszkowice
17561,Nowodomki
17578,Ostromęczyn
17584,Ostromęczyn-Kolonia
17590,Platerów
17609,Puczyce
17621,Rusków
17638,Zaborze
17644,Antopol
17650,Bojary
17667,Grabówka
17673,Hołowno
17733,Kaniuki
17740,Mosty
17756,Nowe Mosty
17762,Niecielin
17779,Opole
17785,Piechy
17791,Podedwórze
17800,Rusiły
17816,Zaliszcze
17839,Bedlno
17845,Biała
17905,Białka
17940,Branica Radzyńska
17963,Brzostówiec
17992,Radowiec
18000,Główne
18017,Jaski
18030,Branica Radzyńska-Kolonia
18052,Marynin
18069,Paszki Duże
18075,Paszki Małe
18098,Płudy
18112,Siedlanów
18129,Stasinów
18135,Ustrzesz
18141,Zabiele
18158,Zbulitów Duży
18164,Żabików
18170,Bedlno Radzyńskie
18187,Cieleśnica
18218,Cieleśnica
18224,Derło
18247,Hołodnica
18260,Klonownica Duża
18282,Kołczyn
18299,Kołczyn
18307,Lipnica
18359,Michałki
18388,Michałki
18394,Olszyn
18402,Pokinianka
18419,Pratulin
18448,Rokitno
18477,Rokitno
18483,Zaczopki
18514,Zaczopki
18550,Bordziłówka
18572,Kożanówka
18610,Mokre
18655,Musiejówka
18678,Romaszki
18721,Rossosz
18773,Binduga
18780,Bonin
18796,Bonin-Ogródki
18804,Borsuki
18810,Bużka
18827,Chlebczyn
18833,Chybów
18840,Franopol
18856,Grzybów
18862,Hołowczyce-Kolonia
18879,Horoszki Duże
18891,Horoszki Małe
18900,Klepaczew
18916,Klimczyce
18922,Klimczyce-Kolonia
18939,Kózki
18945,Mierzwice-Kolonia
18951,Nowe Hołowczyce
18968,Stare Hołowczyce
18974,Nowe Litewniki
18997,Nowe Mierzwice
19005,Płosków
19011,Płosków-Kolonia
19034,Raczki
19040,Rozwadów
19057,Rzewuszki
19063,Sarnaki
19070,Serpelice
19092,Stare Litewniki
19100,Stare Mierzwice
19117,Terlików
19123,Zabuże
19175,Amelin
19181,Augustówka
19198,Działyń
19212,Glinny Stok
19229,Gródek Szlachecki
19235,Jezioro
19241,Juliopol
19264,Łubka
19270,Miłków
19293,Miłków-Kolonia
19301,Nadzieja
19318,Pomyków
19324,Sewerynówka
19330,Siemień
19347,Siemień-Kolonia
19360,Tulniki
19376,Wierzchowiny
19407,Władysławów
